date,SBER,GAZP,YNDX
2020-01-06,-0.0043230564477933575,-0.009504484311563848,-0.004853472286428768
2020-01-08,0.02046655592508266,-0.002966782048822995,0.0018695088638161434
2020-01-09,-0.0044862201551966845,-0.006746975737533453,0.0190185922602118
2020-01-10,0.0007749235150854474,-0.00857763624305277,-0.0012469286832198345
2020-01-13,0.016174309074329648,-0.0015891938187706455,-0.007958188047617047
2020-01-14,-0.012848963809136499,-0.005982071677547429,-0.006829512106762316
2020-01-15,-0.010633443874692386,0.005186526687300154,0.0018604656529196708
2020-01-16,0.004670904915085017,0.011709920972429852,0.011017154578973952
2020-01-17,0.01919252773048858,0.004434423042098858,0.01929929178648316
2020-01-20,0.014297304700824394,-0.007427965532837469,0.009761777201953613
2020-01-21,0.006662449317847857,-0.002013860776577895,-0.01077209698191107
2020-01-22,-0.00568650989876958,-0.019518071556904625,0.007194275634027231
2020-01-23,-0.010598473620383983,-0.03611389578342763,0.010766208587718283
2020-01-24,0.006651322658033391,-0.0056574273472083025,-0.00790292817770319
2020-01-27,-0.03905951480137378,-0.029816032212439777,-0.00645394854074379
2020-01-28,0.009278457270462812,0.01734097878947938,0.00709705835604206
2020-01-29,0.008654717495123039,-0.012848142477849024,0.031708516065753055
2020-01-30,-0.010169251483002476,-0.002027916903202908,-0.0006922810937610069
2020-01-31,-0.02005916013962065,-0.02108189724962374,-0.00506822343609818
2020-02-03,0.007072472633955325,0.004137876221439882,0.002502608188330936
2020-02-04,0.005536047433664446,0.012485428701780035,0.037274781619782524
2020-02-05,-0.000783392127804156,0.008897393813917178,0.0060685058363806575
2020-02-06,-0.012182051264577862,-0.005086875649877691,0.013209359230636297
2020-02-07,0.008649172222017136,-0.009859143032340336,0.01807591478577523
2020-02-10,-0.008054370769026894,-0.017213341302867207,-0.005362636014115486
2020-02-11,0.008840534331530286,0.03790477732459803,-0.0007128738839207608
2020-02-12,0.0,0.017503042557822725,-0.015615619000409585
2020-02-13,-0.0023997336404531513,-0.01900052919983901,0.016393274408662336
2020-02-14,-0.008464570751452611,-0.004505961920706029,-0.025057063266007106
2020-02-17,-0.001550357091360591,0.005361943141385373,-0.009141624400725653
2020-02-18,-0.008630387594013017,-0.014001305732093183,-0.015741972882388072
2020-02-19,0.0020044103724294695,0.006055381824782697,0.005432950545302548
2020-02-20,0.0018005406484864976,0.011575691957889052,0.011916524357723548
2020-02-21,0.002595070824551551,-0.011144564553065063,-0.025966680462420656
2020-02-25,-0.022622388562617612,-0.03206020400207801,-0.08228323579368381
2020-02-26,0.022622388562617647,0.0003559985797653498,0.003350336305909014
2020-02-27,-0.03208831455150063,-0.03283431571525864,-0.004693620089985077
2020-02-28,-0.039985168647799045,-0.07071849745442123,-0.006893995082402825
2020-03-02,-0.0224913604019872,-0.019281667534458043,0.022895521777695223
2020-03-03,0.036406774629481005,0.013491435337590316,0.0005877599170015657
2020-03-04,-0.0057639489946322816,-0.007372754329413062,-0.025590922670610826
2020-03-05,-0.012575016005131067,-0.01005033585350145,0.0274987600558711
2020-03-06,-0.0545766840133787,-0.05038992795791467,-0.015961323116054724
2020-03-10,-0.08928265254823381,-0.0962135462339607,-0.03602285224938165
2020-03-11,-0.0337130454158584,0.006005323706288118,0.009606221805439933
2020-03-12,-0.10061389219891154,-0.049450150557546924,-0.061102747572614816
2020-03-13,0.12132025100025814,0.014371286967848295,0.004056800695614469
2020-03-16,-0.013943691499231855,0.011790542669225922,-0.04132819549284606
2020-03-17,-0.062358956153557396,-0.006386746871720011,0.02294156924240675
2020-03-18,-0.05438428328573209,-0.003959925976213605,-0.044781713906005646
